company_id,company_name,industry,tier,min_cgpa,min_10th,min_12th,max_active_backlogs,allowed_departments,required_skills,preferred_skills,min_internship_months,internship_tier_preference,min_projects,project_complexity_min,requires_research_paper,cert_tier_required,role_offered,package_lpa,bond_years
CO001,Google India,Healthcare,Tier1,8.0,79.0,82.0,0,"AIDS,AIML,CSE","Pandas,Azure,AWS","NumPy,Git",4.9,Tier1_or_Tier2,4,Intermediate,False,Global_Standard,Data Analyst,16.4,0
CO002,Microsoft India,Finance,Tier1,7.7,73.0,74.0,0,"CSE,IT,MBA","Angular,C++,Django,AWS","Java,NumPy",3.0,Tier1,2,Intermediate,False,Global_Standard,ML Engineer,43.3,0
CO003,Amazon Development Center,Tech,Tier1,7.8,75.0,82.0,0,"AIDS,AIML,CSE,IT","Django,AWS,Angular,Java","Docker,NumPy,Linux,PyTorch",2.1,Tier1,4,Intermediate,True,Global_Premium,ML Engineer,30.5,0
CO004,Goldman Sachs,Consulting,Tier1,8.0,82.0,84.0,0,"AIDS,AIML,CIVIL,CSE,IT","Angular,Pandas,TypeScript,AWS","Docker,PostgreSQL,MySQL",4.5,Tier1,3,Intermediate,False,Global_Premium,ML Engineer,37.4,0
CO005,Adobe Systems,Manufacturing,Tier1,8.0,77.0,74.0,0,"CSE,ECE,MECH","Java,C++","TypeScript,Kubernetes,Excel,SQL",4.2,Tier1,2,Advanced,True,Global_Premium,ML Engineer,19.1,0
CO006,Oracle India,Healthcare,Tier1,7.8,83.0,72.0,0,"AIML,CSE,ECE","Pandas,C++","PyTorch,Communication",2.1,Tier1,3,Advanced,True,Global_Standard,Data Analyst,25.3,0
CO007,Salesforce India,Manufacturing,Tier1,7.6,77.0,75.0,0,"CSE,ECE,EEE,MBA,MECH","NumPy,TypeScript,Flask,Azure","MongoDB,TensorFlow,Scikit-learn,C",5.4,Tier1,4,Intermediate,False,Global_Premium,ML Engineer,22.7,0
CO008,JPMorgan Chase,Tech,Tier1,8.2,75.0,78.0,0,"AIDS,CSE,IT","TypeScript,C++","Django,Python,Angular",3.2,Tier1,2,Intermediate,False,Global_Premium,ML Engineer,16.7,0
CO009,Apple India,Tech,Tier1,8.3,76.0,72.0,0,"AIML,CSE,IT","Angular,Python,Scikit-learn,Django","React,Excel,C++",3.2,Tier1,4,Advanced,False,Global_Standard,SDE,44.5,0
CO010,Meta Platforms,Healthcare,Tier1,8.5,83.0,77.0,0,"AIML,CSE,ECE","SQL,Angular,JavaScript","NumPy,AWS,HTML/CSS,Excel",4.5,Tier1_or_Tier2,2,Advanced,True,Global_Standard,ML Engineer,20.5,0
CO011,Infosys,Consulting,Tier2,7.0,69.0,71.0,0,"AIDS,AIML,BCA,CIVIL,CSE,ECE,IT",C++,PostgreSQL,0.1,Any,3,Basic,False,National,Data Analyst,13.3,2
